stock_code,stock_name,event_types,text_event_label,text_score,sentiment_strength,duration_tag,fact_support,bullish_logic,bearish_logic,news_count,price_volume_signal,fund_flow_signal,behavior_label,market_score,integrated_score,decision
603045.SH,福达合金,earnings_growth | other,利好,1.08,强,短期,一般,暂无明显看多逻辑。 | 财务指标改善通常更容易获得持续性资金认可。,暂无明显看空逻辑。 | 若增长来自非经常性收益，持续性会被打折。,10,数据不足,主力净流入,做多主导,3.5,2.17,大概率真利好，人气上升有资金支撑
002640.SZ,跨境通,earnings_growth | other,利好,0.56,强,短期,一般,暂无明显看多逻辑。 | 财务指标改善通常更容易获得持续性资金认可。,暂无明显看空逻辑。 | 若增长来自非经常性收益，持续性会被打折。,10,数据不足,主力净流入,做多主导,3.5,1.88,大概率真利好，人气上升有资金支撑
000546.SZ,金圆股份,other,中性,0.04,弱,短期,一般,暂无明显看多逻辑。,暂无明显看空逻辑。,10,数据不足,主力净流入,做多主导,3.5,1.6,信号分歧，等待更多确认
600527.SH,江南高纤,other,中性,0.0,弱,短期,一般,暂无明显看多逻辑。,暂无明显看空逻辑。,10,数据不足,主力净流入,做多主导,3.5,1.58,信号分歧，等待更多确认
000063.SZ,中兴通讯,major_order | other,利好,0.28,强,短期,一般,暂无明显看多逻辑。 | 订单或合同提升收入预期，说明业务拓展被市场验证。,暂无明显看空逻辑。 | 若订单兑现周期过长，短期业绩和现金流未必立刻改善。,10,数据不足,主力净流入,中性,1.5,0.83,大概率真利好，人气上升有资金支撑
001330.SZ,博纳影业,other,中性,-0.16,弱,短期,一般,暂无明显看多逻辑。,暂无明显看空逻辑。,10,数据不足,主力净流入,中性,1.5,0.59,信号分歧，等待更多确认
603993.SH,洛阳钼业,other,中性,0.12,弱,短期,一般,暂无明显看多逻辑。,暂无明显看空逻辑。,10,数据不足,主力净流出,中性,-1.5,-0.61,信号分歧，等待更多确认
600887.SH,伊利股份,earnings_growth | other,利好,0.72,强,短期,一般,暂无明显看多逻辑。 | 财务指标改善通常更容易获得持续性资金认可。,暂无明显看空逻辑。 | 若增长来自非经常性收益，持续性会被打折。,10,数据不足,主力净流出,获利回吐,-2.5,-0.73,警惕利好出尽，主力可能借机兑现
603195.SH,公牛集团,other,中性,0.08,弱,短期,一般,暂无明显看多逻辑。,暂无明显看空逻辑。,10,数据不足,主力净流出,获利回吐,-2.5,-1.08,信号分歧，等待更多确认
603026.SH,石大胜华,earnings_growth | other,利好,0.44,强,短期,较强,暂无明显看多逻辑。 | 财务指标改善通常更容易获得持续性资金认可。,暂无明显看空逻辑。 | 若增长来自非经常性收益，持续性会被打折。,10,数据不足,主力净流出,做空主导,-3.5,-1.33,警惕利好出尽，主力可能借机兑现
301396.SZ,宏景科技,other,中性,0.0,弱,短期,一般,暂无明显看多逻辑。,暂无明显看空逻辑。,10,数据不足,主力净流出,做空主导,-3.5,-1.58,偏弱，建议谨慎
002731.SZ,ST萃华,other,中性,-0.04,弱,短期,较强,暂无明显看多逻辑。,暂无明显看空逻辑。,10,数据不足,主力净流出,做空主导,-3.5,-1.6,偏弱，建议谨慎
603618.SH,杭电股份,management_risk | other,利空,-0.28,强,短期,一般,暂无明显看多逻辑。 | 若风险已被充分定价，后续可能迎来情绪修复。,暂无明显看空逻辑。 | 治理风险会削弱市场信任并压制估值。,10,数据不足,主力净流出,做空主导,-3.5,-1.73,偏真利空，资金面仍在恶化
